|continent    |date      |cases_per_million|countries_in_continent|
|Europe       |2021-05-14|55,436.3529452375|55                    |
|             |2021-05-14|15,327.2348443922|12                    |
|Asia         |2021-05-14|9,185.0053083013 |51                    |
|Africa       |2021-05-14|3,279.2954527606 |57                    |
|Oceania      |2021-05-14|1,603.5469066778 |24                    |
|North America|2021-05-15|63,084.9268697069|41                    |
|South America|2021-05-15|59,229.5080380848|14                    |
|Europe       |2021-05-15|55,436.3529452375|55                    |
|             |2021-05-15|15,327.2348443922|12                    |
|Asia         |2021-05-15|9,185.0053083013 |51                    |
|Africa       |2021-05-15|3,279.2954527606 |57                    |
|Oceania      |2021-05-15|1,603.5469066778 |24                    |
|North America|2021-05-16|63,664.8040675165|41                    |
|South America|2021-05-16|61,212.1337976657|14                    |
|Europe       |2021-05-16|56,124.9226927085|55                    |
|             |2021-05-16|15,780.9695054825|12                    |
|Asia         |2021-05-16|9,815.355686658  |51                    |
|Africa       |2021-05-16|3,319.8764361609 |57                    |
|Oceania      |2021-05-16|1,645.1997824903 |24                    |
|North America|2021-05-17|63,664.8040675165|41                    |
|South America|2021-05-17|61,212.1337976657|14                    |
|Europe       |2021-05-17|56,124.9226927085|55                    |
|             |2021-05-17|15,780.9695054825|12                    |
|Asia         |2021-05-17|9,815.355686658  |51                    |
|Africa       |2021-05-17|3,319.8764361609 |57                    |
|Oceania      |2021-05-17|1,645.1997824903 |24                    |
|North America|2021-05-18|63,664.8040675165|41                    |
|South America|2021-05-18|61,212.1337976657|14                    |
|Europe       |2021-05-18|56,124.9226927085|55                    |
|             |2021-05-18|15,780.9695054825|12                    |
|Asia         |2021-05-18|9,815.355686658  |51                    |
|Africa       |2021-05-18|3,319.8764361609 |57                    |
|Oceania      |2021-05-18|1,645.1997824903 |24                    |
|North America|2021-05-19|63,664.8040675165|41                    |
|South America|2021-05-19|61,212.1337976657|14                    |
|Europe       |2021-05-19|56,124.9226927085|55                    |
|             |2021-05-19|15,780.9695054825|12                    |
|Asia         |2021-05-19|9,815.355686658  |51                    |
|Africa       |2021-05-19|3,319.8764361609 |57                    |
|Oceania      |2021-05-19|1,645.1997824903 |24                    |
|North America|2021-05-20|63,664.8040675165|41                    |
|South America|2021-05-20|61,212.1337976657|14                    |
|Europe       |2021-05-20|56,124.9226927085|55                    |
|             |2021-05-20|15,780.9695054825|12                    |
|Asia         |2021-05-20|9,815.355686658  |51                    |
|Africa       |2021-05-20|3,319.8764361609 |57                    |
|Oceania      |2021-05-20|1,645.1997824903 |24                    |
|North America|2021-05-21|63,664.8040675165|41                    |
|South America|2021-05-21|61,212.1337976657|14                    |
|Europe       |2021-05-21|56,124.9226927085|55                    |
|             |2021-05-21|15,780.9695054825|12                    |
|Asia         |2021-05-21|9,815.355686658  |51                    |
|Africa       |2021-05-21|3,319.8764361609 |57                    |
|Oceania      |2021-05-21|1,645.1997824903 |24                    |
|North America|2021-05-22|63,664.8040675165|41                    |
|South America|2021-05-22|61,212.1337976657|14                    |
|Europe       |2021-05-22|56,124.9226927085|55                    |
|             |2021-05-22|15,780.9695054825|12                    |
|Asia         |2021-05-22|9,815.355686658  |51                    |
|Africa       |2021-05-22|3,319.8764361609 |57                    |
|Oceania      |2021-05-22|1,645.1997824903 |24                    |
|North America|2021-05-23|64,140.833950177 |41                    |
|South America|2021-05-23|63,387.1491889622|14                    |
|Europe       |2021-05-23|56,710.3687859093|55                    |
|             |2021-05-23|16,177.625693161 |12                    |
|Asia         |2021-05-23|10,331.0354290061|51                    |
|Africa       |2021-05-23|3,366.3115989203 |57                    |
|Oceania      |2021-05-23|1,671.9766312269 |24                    |
|North America|2021-05-24|64,140.833950177 |41                    |
|South America|2021-05-24|63,387.1491889622|14                    |
|Europe       |2021-05-24|56,710.3687859093|55                    |
|             |2021-05-24|16,177.625693161 |12                    |
|Asia         |2021-05-24|10,331.0354290061|51                    |
|Africa       |2021-05-24|3,366.3115989203 |57                    |
|Oceania      |2021-05-24|1,671.9766312269 |24                    |
|North America|2021-05-25|64,140.833950177 |41                    |
|South America|2021-05-25|63,387.1491889622|14                    |
|Europe       |2021-05-25|56,710.3687859093|55                    |
|             |2021-05-25|16,177.625693161 |12                    |
|Asia         |2021-05-25|10,331.0354290061|51                    |
|Africa       |2021-05-25|3,366.3115989203 |57                    |
|Oceania      |2021-05-25|1,671.9766312269 |24                    |
|North America|2021-05-26|64,140.833950177 |41                    |
|South America|2021-05-26|63,387.1491889622|14                    |
|Europe       |2021-05-26|56,710.3687859093|55                    |
|             |2021-05-26|16,177.625693161 |12                    |
|Asia         |2021-05-26|10,331.0354290061|51                    |
|Africa       |2021-05-26|3,366.3115989203 |57                    |
|Oceania      |2021-05-26|1,671.9766312269 |24                    |
|North America|2021-05-27|64,140.833950177 |41                    |
|South America|2021-05-27|63,387.1491889622|14                    |
|Europe       |2021-05-27|56,710.3687859093|55                    |
|             |2021-05-27|16,177.625693161 |12                    |
|Asia         |2021-05-27|10,331.0354290061|51                    |
|Africa       |2021-05-27|3,366.3115989203 |57                    |
|Oceania      |2021-05-27|1,671.9766312269 |24                    |
|North America|2021-05-28|64,140.833950177 |41                    |
|South America|2021-05-28|63,387.1491889622|14                    |
|Europe       |2021-05-28|56,710.3687859093|55                    |
|             |2021-05-28|16,177.625693161 |12                    |
|Asia         |2021-05-28|10,331.0354290061|51                    |
|Africa       |2021-05-28|3,366.3115989203 |57                    |
|Oceania      |2021-05-28|1,671.9766312269 |24                    |
|North America|2021-05-29|64,140.833950177 |41                    |
|South America|2021-05-29|63,387.1491889622|14                    |
|Europe       |2021-05-29|56,710.3687859093|55                    |
|             |2021-05-29|16,177.625693161 |12                    |
|Asia         |2021-05-29|10,331.0354290061|51                    |
|Africa       |2021-05-29|3,366.3115989203 |57                    |
|Oceania      |2021-05-29|1,671.9766312269 |24                    |
|South America|2021-05-30|65,540.9314166779|14                    |
|North America|2021-05-30|64,540.2151792929|41                    |
|Europe       |2021-05-30|57,158.6182727737|55                    |
|             |2021-05-30|16,509.9642546428|12                    |
|Asia         |2021-05-30|10,738.8340295489|51                    |
|Africa       |2021-05-30|3,418.7033138005 |57                    |
|Oceania      |2021-05-30|1,694.0242355348 |24                    |
|South America|2021-05-31|65,540.9314166779|14                    |
|North America|2021-05-31|64,540.2151792929|41                    |
|Europe       |2021-05-31|57,158.6182727737|55                    |
|             |2021-05-31|16,509.9642546428|12                    |
|Asia         |2021-05-31|10,738.8340295489|51                    |
|Africa       |2021-05-31|3,418.7033138005 |57                    |
|Oceania      |2021-05-31|1,694.0242355348 |24                    |
|South America|2021-06-01|65,540.9314166779|14                    |
|North America|2021-06-01|64,540.2151792929|41                    |
|Europe       |2021-06-01|57,158.6182727737|55                    |
